hora,jornada,temperatura_C,irradiancia_W_m2
0,00-06,22.176,0.0
1,00-06,22.14,0.0
2,00-06,22.324,0.0
3,00-06,23.269,0.0
4,00-06,23.351,0.0
5,00-06,24.514,0.0
6,06-12,26.327,0.0
7,06-12,27.061,245.9
8,06-12,28.154,475.0
9,06-12,29.07,671.8
10,06-12,30.475,822.7
11,06-12,31.861,917.6
12,12-18,32.061,950.0
13,12-18,32.358,917.6
14,12-18,31.71,822.7
15,12-18,31.154,671.8
16,12-18,29.999,475.0
17,12-18,29.635,245.9
18,18-24,27.931,0.0
19,18-24,26.712,0.0
20,18-24,25.542,0.0
21,18-24,24.607,0.0
22,18-24,23.275,0.0
23,18-24,22.485,0.0
