dia,lluvia_efectiva_mm
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,35.3
11,0.0
12,0.0
13,0.0
14,0.0
15,7.7
16,0.0
17,19.6
18,18.8
19,0.0
20,0.0
21,3.1
22,0.0
23,0.0
24,17.7
25,5.9
26,0.0
27,0.0
28,4.6
29,0.0
30,0.0
31,0.0
32,0.0
33,13.1
34,0.0
35,3.5
36,27.1
37,0.0
38,27.2
39,37.3
40,16.5
41,0.0
42,0.0
43,9.8
44,9.2
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,11.8
51,19.7
52,0.0
53,17.8
54,0.0
55,0.0
56,0.0
57,0.0
58,9.5
59,14.2
60,0.0
61,0.0
62,8.6
63,0.0
64,0.0
65,9.6
66,17.7
67,0.0
68,0.0
69,0.0
70,0.0
71,6.1
72,0.0
73,6.2
74,0.0
75,32.1
76,0.0
77,0.0
78,15.4
79,0.0
80,12.8
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,15.7
90,0.0
91,0.0
92,26.9
93,0.0
94,21.1
95,42.0
96,12.6
97,0.0
98,0.0
99,0.0
100,0.0
101,10.3
102,0.0
103,0.0
104,0.0
105,0.0
106,5.1
107,15.5
108,0.0
109,0.0
110,9.8
111,0.0
112,0.0
113,7.4
114,0.0
115,0.0
116,0.0
117,0.0
118,28.5
119,6.1
120,1.5
