mes,periodo,Q_obs_m3_s,Q_sim_m3_s
1,calibracion,6.21,7.7
2,calibracion,5.01,4.7
3,calibracion,4.3,4.43
4,calibracion,9.39,7.83
5,calibracion,14.85,14.55
6,calibracion,18.28,16.0
7,calibracion,16.85,15.33
8,calibracion,17.12,17.97
9,calibracion,21.51,20.37
10,calibracion,22.75,24.45
11,calibracion,19.33,17.19
12,calibracion,12.13,13.27
13,calibracion,7.65,10.4
14,calibracion,6.14,6.93
15,calibracion,4.54,5.4
16,calibracion,8.58,10.19
17,calibracion,14.73,16.72
18,calibracion,21.82,22.35
19,calibracion,14.36,13.78
20,calibracion,17.57,17.44
21,calibracion,24.54,24.2
22,calibracion,31.26,29.67
23,calibracion,21.3,17.56
24,calibracion,11.27,13.2
25,validacion,9.71,12.94
26,validacion,6.09,2.59
27,validacion,5.39,5.6
28,validacion,10.86,12.74
29,validacion,23.94,21.94
30,validacion,20.68,16.05
31,validacion,19.39,18.74
32,validacion,22.16,17.99
33,validacion,32.76,27.76
34,validacion,38.82,24.48
35,validacion,21.33,15.41
36,validacion,12.99,12.64
37,validacion,5.97,6.83
38,validacion,5.83,6.11
39,validacion,5.07,5.24
40,validacion,8.2,11.99
41,validacion,18.23,19.88
42,validacion,18.93,20.51
43,validacion,12.72,12.28
44,validacion,16.63,17.89
45,validacion,22.38,19.38
46,validacion,27.76,19.28
47,validacion,18.0,14.48
48,validacion,12.27,8.0
