fecha_hora;caudal_l_s;presion_bar
2026-03-04 00:00:00;12,01;2,837
2026-03-04 00:05:00;12,36;2,85
2026-03-04 00:10:00;12,4;2,84
2026-03-04 00:15:00;13,54;2,923
2026-03-04 00:20:00;11,71;2,817
2026-03-04 00:25:00;12,04;2,823
2026-03-04 00:30:00;13,6;2,883
2026-03-04 00:35:00;12,16;2,808
2026-03-04 00:40:00;11,64;2,833
2026-03-04 00:45:00;10,89;2,868
2026-03-04 00:50:00;11,84;2,834
2026-03-04 00:55:00;13,36;2,912
2026-03-04 01:00:00;12,59;2,868
2026-03-04 01:05:00;12,92;2,861
2026-03-04 01:10:00;11,69;2,8
2026-03-04 01:15:00;11,55;2,883
2026-03-04 01:20:00;10,62;2,808
2026-03-04 01:25:00;12,35;2,853
2026-03-04 01:30:00;11,07;2,81
2026-03-04 01:35:00;11,26;2,865
2026-03-04 01:40:00;11,58;2,842
2026-03-04 01:45:00;12,27;2,849
2026-03-04 01:50:00;11,51;2,792
2026-03-04 01:55:00;11,52;2,841
2026-03-04 02:00:00;13,38;2,918
2026-03-04 02:05:00;11,56;2,815
2026-03-04 02:10:00;11,84;2,833
2026-03-04 02:15:00;12,21;2,849
2026-03-04 02:20:00;13,31;2,849
2026-03-04 02:25:00;10,76;2,816
2026-03-04 02:30:00;12,22;2,903
2026-03-04 02:35:00;11,87;2,801
2026-03-04 02:40:00;12,71;2,901
2026-03-04 02:45:00;12,83;2,866
2026-03-04 02:50:00;10,43;2,822
2026-03-04 02:55:00;11,44;2,767
2026-03-04 03:00:00;11,24;2,844
2026-03-04 03:05:00;13,19;2,889
2026-03-04 03:10:00;13,36;2,939
2026-03-04 03:15:00;11,83;2,817
2026-03-04 03:20:00;12,95;2,847
2026-03-04 03:25:00;11,85;2,923
2026-03-04 03:30:00;10,78;2,824
2026-03-04 03:35:00;11,46;2,849
2026-03-04 03:40:00;11,5;2,775
2026-03-04 03:45:00;11,97;2,828
2026-03-04 03:50:00;10,87;2,834
2026-03-04 03:55:00;12,93;2,905
2026-03-04 04:00:00;12,73;2,835
2026-03-04 04:05:00;11,68;2,822
2026-03-04 04:10:00;11,92;2,826
2026-03-04 04:15:00;11,0;2,843
2026-03-04 04:20:00;11,8;2,854
2026-03-04 04:25:00;10,69;2,897
2026-03-04 04:30:00;11,11;2,857
2026-03-04 04:35:00;12,49;2,811
2026-03-04 04:40:00;11,39;2,862
2026-03-04 04:45:00;13,05;2,877
2026-03-04 04:50:00;10,78;2,805
2026-03-04 04:55:00;12,6;2,856
2026-03-04 05:00:00;45,48;3,484
2026-03-04 05:05:00;44,32;3,335
2026-03-04 05:10:00;44,35;3,434
2026-03-04 05:15:00;44,83;3,46
2026-03-04 05:20:00;45,12;3,462
2026-03-04 05:25:00;44,36;3,453
2026-03-04 05:30:00;43,62;3,456
2026-03-04 05:35:00;43,92;3,357
2026-03-04 05:40:00;43,88;3,45
2026-03-04 05:45:00;43,23;3,435
2026-03-04 05:50:00;41,87;3,385
2026-03-04 05:55:00;45,05;3,396
2026-03-04 06:00:00;45,29;3,476
2026-03-04 06:05:00;42,09;3,419
2026-03-04 06:10:00;43,84;3,461
2026-03-04 06:15:00;44,66;3,418
2026-03-04 06:20:00;44,68;3,445
2026-03-04 06:25:00;42,77;3,378
2026-03-04 06:30:00;44,41;3,401
2026-03-04 06:35:00;43,29;3,425
2026-03-04 06:40:00;45,17;3,381
2026-03-04 06:45:00;42,12;3,309
2026-03-04 06:50:00;42,29;3,378
2026-03-04 06:55:00;43,61;3,443
2026-03-04 07:00:00;44,15;3,414
2026-03-04 07:05:00;43,88;3,424
2026-03-04 07:10:00;43,82;3,434
2026-03-04 07:15:00;45,55;3,467
2026-03-04 07:20:00;45,28;3,434
2026-03-04 07:25:00;45,37;3,418
2026-03-04 07:30:00;43,57;3,422
2026-03-04 07:35:00;44,8;3,435
2026-03-04 07:40:00;43,89;3,447
2026-03-04 07:45:00;42,42;3,39
2026-03-04 07:50:00;42,78;3,399
2026-03-04 07:55:00;41,75;3,4
2026-03-04 08:00:00;44,03;3,416
2026-03-04 08:05:00;42,17;3,354
2026-03-04 08:10:00;44,62;3,391
2026-03-04 08:15:00;43,03;3,371
2026-03-04 08:20:00;43,67;3,378
2026-03-04 08:25:00;44,56;3,426
2026-03-04 08:30:00;45,28;3,475
2026-03-04 08:35:00;43,14;3,41
2026-03-04 08:40:00;45,85;3,489
2026-03-04 08:45:00;43,09;3,397
2026-03-04 08:50:00;42,92;3,439
2026-03-04 08:55:00;44,48;3,44
2026-03-04 09:00:00;43,99;3,371
2026-03-04 09:05:00;44,03;3,438
2026-03-04 09:10:00;42,76;3,351
2026-03-04 09:15:00;42,72;3,351
2026-03-04 09:20:00;45,09;3,475
2026-03-04 09:25:00;45,03;3,442
2026-03-04 09:30:00;43,87;3,397
2026-03-04 09:35:00;43,75;3,415
2026-03-04 09:40:00;43,12;3,366
2026-03-04 09:45:00;43,46;3,387
2026-03-04 09:50:00;44,16;3,449
2026-03-04 09:55:00;43,65;3,44
2026-03-04 10:00:00;43,88;3,399
2026-03-04 10:05:00;44,5;3,394
2026-03-04 10:10:00;42,51;3,408
2026-03-04 10:15:00;43,18;3,404
2026-03-04 10:20:00;44,07;3,388
2026-03-04 10:25:00;44,63;3,388
2026-03-04 10:30:00;43,19;3,411
2026-03-04 10:35:00;45,07;3,467
2026-03-04 10:40:00;44,29;3,485
2026-03-04 10:45:00;44,25;3,45
2026-03-04 10:50:00;44,38;3,478
2026-03-04 10:55:00;44,48;3,412
2026-03-04 11:00:00;11,6;2,851
2026-03-04 11:05:00;12,84;2,832
2026-03-04 11:10:00;12,03;2,86
2026-03-04 11:15:00;13,39;2,904
2026-03-04 11:20:00;11,03;2,826
2026-03-04 11:25:00;13,0;2,895
2026-03-04 11:30:00;13,73;2,903
2026-03-04 11:35:00;12,36;2,852
2026-03-04 11:40:00;11,38;2,817
2026-03-04 11:45:00;12,57;2,844
2026-03-04 11:50:00;13,07;2,883
