fecha_hora,irradiancia_W_m2
2026-03-04 06:00:00,42.9
2026-03-04 06:15:00,68.8
2026-03-04 06:30:00,100.0
2026-03-04 06:45:00,140.0
2026-03-04 07:00:00,176.8
2026-03-04 07:15:00,221.8
2026-03-04 07:30:00,274.8
2026-03-04 07:45:00,319.9
2026-03-04 08:00:00,369.7
2026-03-04 08:15:00,418.8
2026-03-04 08:30:00,478.3
2026-03-04 08:45:00,543.3
2026-03-04 09:00:00,591.9
2026-03-04 09:15:00,647.3
2026-03-04 09:30:00,686.9
2026-03-04 09:45:00,732.8
2026-03-04 10:00:00,767.3
2026-03-04 10:15:00,825.9
2026-03-04 10:30:00,847.7
2026-03-04 10:45:00,881.1
2026-03-04 11:00:00,911.0
2026-03-04 11:15:00,940.3
2026-03-04 11:30:00,934.4
2026-03-04 11:45:00,942.8
2026-03-04 12:00:00,962.3
2026-03-04 12:15:00,943.3
2026-03-04 12:30:00,938.4
2026-03-04 12:45:00,939.6
2026-03-04 13:00:00,932.1
2026-03-04 13:15:00,875.1
2026-03-04 13:30:00,860.8
2026-03-04 13:45:00,820.8
2026-03-04 14:00:00,789.0
2026-03-04 14:15:00,745.4
2026-03-04 14:30:00,675.3
2026-03-04 14:45:00,634.7
2026-03-04 15:00:00,581.3
2026-03-04 15:15:00,542.0
2026-03-04 15:30:00,488.0
2026-03-04 15:45:00,424.1
2026-03-04 16:00:00,376.2
2026-03-04 16:15:00,318.6
2026-03-04 16:30:00,264.8
2026-03-04 16:45:00,220.1
2026-03-04 17:00:00,176.2
2026-03-04 17:15:00,137.0
2026-03-04 17:30:00,98.0
2026-03-04 17:45:00,69.4
2026-03-04 18:00:00,43.3
