dia,kc
1,0.350000
2,0.350000
3,0.350000
4,0.350000
5,0.350000
6,0.350000
7,0.350000
8,0.350000
9,0.350000
10,0.350000
11,0.350000
12,0.350000
13,0.371622
14,0.393243
15,0.414865
16,0.436486
17,0.458108
18,0.479730
19,0.501351
20,0.522973
21,0.544595
22,0.566216
23,0.587838
24,0.609459
25,0.631081
26,0.652703
27,0.674324
28,0.695946
29,0.717568
30,0.739189
31,0.760811
32,0.782432
33,0.804054
34,0.825676
35,0.847297
36,0.868919
37,0.890541
38,0.912162
39,0.933784
40,0.955405
41,0.977027
42,0.998649
43,1.020270
44,1.041892
45,1.063514
46,1.085135
47,1.106757
48,1.128378
49,1.150000
50,1.150000
51,1.150000
52,1.150000
53,1.150000
54,1.150000
55,1.150000
56,1.150000
57,1.150000
58,1.150000
59,1.150000
60,1.150000
61,1.150000
62,1.150000
63,1.150000
64,1.150000
65,1.150000
66,1.150000
67,1.150000
68,1.150000
69,1.150000
70,1.150000
71,1.150000
72,1.150000
73,1.150000
74,1.150000
75,1.150000
76,1.150000
77,1.150000
78,1.150000
79,1.150000
80,1.150000
81,1.150000
82,1.150000
83,1.150000
84,1.042857
85,0.935714
86,0.828571
87,0.721429
88,0.614286
89,0.507143
90,0.400000
