p,d_mm,ETo_mm_dia,bruto_mm,deficit_pct
0.45,25,4.0,312.5,0.00
0.45,25,4.8,406.2,0.00
0.45,25,5.6,468.8,0.00
0.45,45,4.0,337.5,0.00
0.45,45,4.8,393.8,0.00
0.45,45,5.6,506.2,0.00
0.45,65,4.0,406.2,0.00
0.45,65,4.8,487.5,0.00
0.45,65,5.6,568.8,0.00
0.65,25,4.0,281.2,4.82
0.65,25,4.8,343.8,5.09
0.65,25,5.6,437.5,4.43
0.65,45,4.0,281.2,2.27
0.65,45,4.8,393.8,3.13
0.65,45,5.6,450.0,3.04
0.65,65,4.0,325.0,2.03
0.65,65,4.8,406.2,1.63
0.65,65,5.6,487.5,2.02
0.85,25,4.0,125.0,33.48
0.85,25,4.8,187.5,36.20
0.85,25,5.6,218.8,36.68
0.85,45,4.0,168.8,25.16
0.85,45,4.8,225.0,26.62
0.85,45,5.6,281.2,27.84
0.85,65,4.0,243.8,21.71
0.85,65,4.8,243.8,21.50
0.85,65,5.6,325.0,22.28
